epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,252.241,1.78498,2.43619,0.00414,0.9067,0.70816,0.80254,0.44261,1.60886,1.11371,0.00507,0.000666154,0.000666154,0.000666154
2,483.264,1.89144,1.34325,0.00471,0.90043,0.74208,0.82343,0.46469,1.72352,1.10235,0.00587,0.00131963,0.00131963,0.00131963
3,715.761,1.88243,1.3204,0.0044,0.90079,0.74361,0.80983,0.46673,1.70233,1.0672,0.00517,0.0019599,0.0019599,0.0019599
4,948.619,1.88482,1.23531,0.00464,0.91548,0.76383,0.84924,0.48195,1.68321,1.02959,0.00506,0.0019406,0.0019406,0.0019406
5,1180.48,1.82373,1.16628,0.00436,0.92555,0.76803,0.8562,0.48275,1.74015,0.9082,0.00513,0.0019208,0.0019208,0.0019208
6,1414.42,1.76098,1.05697,0.00413,0.90629,0.81549,0.87721,0.50429,1.62321,0.88202,0.00477,0.001901,0.001901,0.001901
7,1646.63,1.72683,1.04168,0.00402,0.93022,0.79857,0.87679,0.54717,1.53321,0.89056,0.00477,0.0018812,0.0018812,0.0018812
8,1881.26,1.75133,1.00023,0.00394,0.9297,0.81232,0.88727,0.54203,1.55101,0.78845,0.00443,0.0018614,0.0018614,0.0018614
9,2114.32,1.70422,0.96822,0.00383,0.93588,0.82969,0.89043,0.5327,1.46303,0.79343,0.00431,0.0018416,0.0018416,0.0018416
10,2345.82,1.67439,0.94721,0.00375,0.9477,0.82564,0.89687,0.55603,1.50763,0.73049,0.0046,0.0018218,0.0018218,0.0018218
11,2579.42,1.67404,0.94745,0.00381,0.96451,0.80656,0.88522,0.55522,1.57994,0.75669,0.00459,0.001802,0.001802,0.001802
12,2811.83,1.64613,0.92715,0.00365,0.93929,0.83817,0.89945,0.57439,1.39169,0.73286,0.00393,0.0017822,0.0017822,0.0017822
13,3048.11,1.6305,0.87274,0.00356,0.95086,0.8512,0.91251,0.5623,1.53862,0.70595,0.00459,0.0017624,0.0017624,0.0017624
14,3278.83,1.6168,0.84923,0.00359,0.95428,0.84929,0.90773,0.59007,1.39166,0.70409,0.00391,0.0017426,0.0017426,0.0017426
15,3512.63,1.585,0.86528,0.00359,0.95134,0.85785,0.91097,0.57356,1.46825,0.6723,0.00419,0.0017228,0.0017228,0.0017228
16,3745.89,1.61772,0.83292,0.00345,0.96148,0.857,0.92093,0.59643,1.41048,0.64017,0.00406,0.001703,0.001703,0.001703
17,3978.16,1.59462,0.83034,0.00336,0.95422,0.86494,0.91655,0.57896,1.47298,0.68541,0.00396,0.0016832,0.0016832,0.0016832
18,4209.76,1.57736,0.82289,0.0034,0.95166,0.86387,0.91859,0.56395,1.56041,0.65818,0.00449,0.0016634,0.0016634,0.0016634
19,4442.08,1.55476,0.79694,0.00335,0.96411,0.88592,0.93153,0.61619,1.3621,0.58173,0.00374,0.0016436,0.0016436,0.0016436
20,4672.79,1.54264,0.80012,0.00345,0.96085,0.8844,0.93265,0.60397,1.39692,0.60034,0.00384,0.0016238,0.0016238,0.0016238
21,4905.25,1.53654,0.79396,0.00339,0.95386,0.86765,0.92147,0.5882,1.43969,0.6622,0.00401,0.001604,0.001604,0.001604
22,5137.94,1.52023,0.76018,0.00323,0.95523,0.88936,0.9336,0.60458,1.35573,0.60277,0.00363,0.0015842,0.0015842,0.0015842
23,5370.63,1.52424,0.73507,0.00308,0.95338,0.88161,0.92711,0.59426,1.43445,0.5775,0.00367,0.0015644,0.0015644,0.0015644
24,5603.96,1.51404,0.7397,0.00307,0.96614,0.88363,0.93492,0.61553,1.34446,0.57707,0.00361,0.0015446,0.0015446,0.0015446
25,5834.69,1.49298,0.72648,0.00306,0.95882,0.88828,0.93318,0.61342,1.32464,0.57201,0.00353,0.0015248,0.0015248,0.0015248
26,6068.29,1.47631,0.7096,0.0032,0.96586,0.89586,0.93873,0.61957,1.3374,0.54094,0.00344,0.001505,0.001505,0.001505
27,6298.78,1.50127,0.71058,0.00301,0.95999,0.88805,0.93332,0.61498,1.34742,0.55575,0.00361,0.0014852,0.0014852,0.0014852
28,6530.63,1.49616,0.7007,0.00311,0.95887,0.90538,0.94152,0.61153,1.3755,0.5435,0.00377,0.0014654,0.0014654,0.0014654
29,6768.63,1.47103,0.6926,0.00308,0.9595,0.89737,0.93671,0.61962,1.35686,0.55506,0.00352,0.0014456,0.0014456,0.0014456
30,7010.3,1.48419,0.70925,0.00318,0.96184,0.90271,0.93944,0.62019,1.32918,0.55684,0.00358,0.0014258,0.0014258,0.0014258
31,7243.7,1.45644,0.67353,0.00295,0.96721,0.90233,0.94424,0.62127,1.33039,0.52993,0.00368,0.001406,0.001406,0.001406
32,7475.88,1.45497,0.67255,0.00296,0.96537,0.89345,0.93985,0.6189,1.34631,0.54296,0.00351,0.0013862,0.0013862,0.0013862
33,7708.03,1.45332,0.65418,0.00292,0.97198,0.89966,0.94279,0.62486,1.36351,0.52513,0.00336,0.0013664,0.0013664,0.0013664
34,7940.84,1.44295,0.64405,0.00297,0.97183,0.90309,0.94539,0.63623,1.29389,0.51468,0.00326,0.0013466,0.0013466,0.0013466
35,8172.22,1.43922,0.64669,0.00282,0.95849,0.90538,0.94037,0.62985,1.32046,0.51824,0.00336,0.0013268,0.0013268,0.0013268
