split,filename,path,sha256,dhash
train,00001.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00001.jpg,2e724f4649d253ed2c50bd08d85c7392a3875a65fcd73a26052155becd5fce4c,13889313236642754784
train,00002.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00002.jpg,51cd4d1255ecfe607eb6ad888faa95caf6d6fdd78d3f0738a0767ab44b3fea5b,16635905249186072270
train,00003.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00003.jpg,ddc487f642fd0b748cc545ccc095f5470c8e776fc51450fdd0988d4ac60f1888,17642913703895295670
train,00004.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00004.jpg,6f14047cd493ff53606b9e02a77476f9c7d9d3bf0a10e8756bf9724ad28e4872,6870196000655360
train,00005.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00005.jpg,c9c65db63d715c045d6238cb6701c824824ad00b0308ea85f691dfe0cea20037,86160362700
train,00006.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00006.jpg,e60e881209765e72a5af50c34e818d6b90b05c7a6a810f153b8197467e1edd23,13898320432711313791
train,00007.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00007.jpg,39a721cc5f1a346f875d1c11edba11364086a62759d8d100b226cca943f7cd3e,937088505003567730
train,00008.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00008.jpg,6fec575d4d300c0fc35ebff18a12b624b1e5d92208b40fc383d728c2700c27e7,9692417444376803497
train,00009.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00009.jpg,a9917485925571b7bbc6b2ce570b4f721f94ce49b4ce8910f2876c966cc67690,16210927726554494831
train,00010.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00010.jpg,a28cb54cb4a94b1983882f8b873fcc5a9ef5300072e1db3597321ccb9ee48088,17136973261528665100
train,00011.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00011.jpg,b6f8ce71a38c2428f7b41700ae263afea07598167e8b2d0d0cff569168e4d6f2,2341897193865404659
train,00012.jpg,D:\master\Master_Drone_Detection\02_datasets\DUT_Anti_UAV\images\train\00012.jpg,351efacbe48dd460b667809f0dcbee2b538e8c6fcb6f7b86589070c8b1cbcf4d,938883492365234878
