epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,308.146,1.80151,2.51189,0.00398,0.89139,0.70142,0.79779,0.42979,1.78435,1.14003,0.00576,0.000666154,0.000666154,0.000666154
2,530.866,1.90688,1.38105,0.00499,0.86467,0.7459,0.82931,0.45224,1.81447,1.10701,0.00561,0.00131963,0.00131963,0.00131963
3,753.346,1.93515,1.38154,0.0047,0.89062,0.72693,0.80917,0.42856,1.75351,1.11871,0.00563,0.0019599,0.0019599,0.0019599
4,975.767,1.92575,1.27424,0.00465,0.93077,0.74893,0.83897,0.49551,1.70643,1.02151,0.00497,0.0019406,0.0019406,0.0019406
5,1200.87,1.84203,1.21907,0.00432,0.93626,0.78443,0.86131,0.5125,1.55436,0.91548,0.00495,0.0019208,0.0019208,0.0019208
6,1422.92,1.78496,1.11559,0.00411,0.94335,0.80465,0.88436,0.51371,1.57701,0.81787,0.0051,0.001901,0.001901,0.001901
7,1679.2,1.78372,1.06488,0.00399,0.92492,0.82719,0.89211,0.52522,1.54893,0.9303,0.00478,0.0018812,0.0018812,0.0018812
8,1990.17,1.74113,1.03789,0.00406,0.90691,0.79543,0.86026,0.51317,1.50263,0.84359,0.00467,0.0018614,0.0018614,0.0018614
9,2308.59,1.71059,0.97659,0.00401,0.94441,0.8161,0.89452,0.55424,1.57254,0.7848,0.00453,0.0018416,0.0018416,0.0018416
10,2593.1,1.68336,0.92237,0.00367,0.93598,0.85902,0.90564,0.54125,1.62645,0.76162,0.0046,0.0018218,0.0018218,0.0018218
11,2890.14,1.66295,0.94208,0.00367,0.95668,0.83424,0.907,0.58242,1.48269,0.70885,0.00407,0.001802,0.001802,0.001802
12,3174.06,1.66584,0.88007,0.00372,0.94892,0.84337,0.9058,0.56195,1.50392,0.70387,0.00424,0.0017822,0.0017822,0.0017822
13,3466.2,1.64386,0.8699,0.00368,0.95222,0.83785,0.90688,0.5761,1.52146,0.70426,0.00413,0.0017624,0.0017624,0.0017624
14,3766.64,1.61478,0.86582,0.00367,0.9487,0.86341,0.91633,0.57781,1.43453,0.65607,0.00411,0.0017426,0.0017426,0.0017426
15,4069.82,1.59397,0.85491,0.00349,0.9498,0.85769,0.91366,0.57812,1.43448,0.66374,0.00401,0.0017228,0.0017228,0.0017228
16,4372.07,1.60821,0.85959,0.00364,0.93901,0.85464,0.9103,0.59281,1.41712,0.72542,0.00406,0.001703,0.001703,0.001703
17,4680.63,1.58388,0.85636,0.00355,0.94959,0.8624,0.91966,0.59781,1.42957,0.64447,0.00408,0.0016832,0.0016832,0.0016832
18,4991.22,1.56027,0.7925,0.0034,0.95902,0.87496,0.92539,0.58219,1.4716,0.62714,0.00389,0.0016634,0.0016634,0.0016634
19,5304.16,1.55932,0.79291,0.00341,0.95729,0.8723,0.92425,0.59343,1.40614,0.63496,0.00394,0.0016436,0.0016436,0.0016436
20,5617.44,1.5408,0.78456,0.00314,0.95869,0.88542,0.92983,0.5948,1.38764,0.6027,0.00366,0.0016238,0.0016238,0.0016238
21,5918.35,1.54002,0.78297,0.00341,0.96712,0.86422,0.92942,0.60152,1.39658,0.63656,0.00384,0.001604,0.001604,0.001604
22,6219.72,1.541,0.77549,0.00334,0.96415,0.86723,0.92796,0.59436,1.41279,0.62273,0.00402,0.0015842,0.0015842,0.0015842
23,6518.89,1.50216,0.75354,0.00309,0.95635,0.88325,0.93162,0.61148,1.35468,0.61023,0.0036,0.0015644,0.0015644,0.0015644
24,6854.66,1.51269,0.75642,0.00332,0.96316,0.87771,0.93166,0.61822,1.33039,0.57007,0.00377,0.0015446,0.0015446,0.0015446
