confidence,best_iou,fp_type,image
0.41361963748931885,0.335053851955919,Localization,00008
0.6805805563926697,0.0,Background,00019
0.3290671706199646,0.0,Background,00019
0.35446906089782715,0.6069351575027124,Duplicate,00033
0.696894645690918,0.5798056611133706,Duplicate,00035
0.26426342129707336,0.6726355128498134,Duplicate,00035
0.6831264495849609,0.6361491778849834,Duplicate,00041
0.28957003355026245,0.7039450251894039,Duplicate,00045
0.34981292486190796,0.0,Background,00060
0.6431102156639099,0.0,Background,00080
0.692925751209259,0.8147364846021925,Duplicate,00082
0.44218316674232483,0.0,Background,00086
0.3782024681568146,0.2257553715989789,Localization,00103
0.3435865640640259,0.0,Background,00127
0.29791146516799927,0.0,Background,00128
0.2905822992324829,0.0,Background,00137
0.46890488266944885,0.0,Background,00141
0.604951024055481,0.6660847605833767,Duplicate,00181
0.26669731736183167,0.0,Background,00186
0.6672260165214539,0.49829616182502645,Localization,00187
0.25777971744537354,0.03839955610753188,Localization,00195
0.31099000573158264,0.0,Background,00198
0.3184431195259094,0.0,Background,00211
0.3647090792655945,0.0,Background,00212
0.43571579456329346,0.0,Background,00218
0.48080089688301086,0.310937162899172,Localization,00225
0.7405602335929871,0.35382418033295404,Localization,00234
0.6442587375640869,0.0,Background,00253
0.5070490837097168,0.0,Background,00253
0.8042014837265015,0.44225565457011506,Localization,00292
0.7075885534286499,0.42488715153702916,Localization,00300
0.6047565937042236,0.6695039590840863,Duplicate,00300
0.6500579714775085,0.0,Background,00303
0.3594251871109009,0.0,Background,00305
0.3107104003429413,0.0,Background,00323
0.43631118535995483,0.0,Background,00325
0.5447947382926941,0.21439174477955952,Localization,00326
0.6220759153366089,0.0,Background,00330
0.571290910243988,0.0,Background,00338
0.7070745229721069,0.0,Background,00340
0.34921181201934814,0.0,Background,00340
0.30976542830467224,0.0,Background,00347
0.8458690047264099,0.46479859087928266,Localization,00350
0.3037221133708954,0.33101405369555564,Localization,00360
0.5757452249526978,0.0,Background,00378
0.8075012564659119,0.4546814549948515,Localization,00386
0.5370413661003113,0.0,Background,00395
0.26528745889663696,0.49979262284149195,Localization,00423
0.26112794876098633,0.0,Background,00514
0.6399604678153992,0.0,Background,00533
0.2944805920124054,0.0,Background,00575
0.34720557928085327,0.0,Background,00577
0.3712408244609833,0.0,Background,00578
0.31897231936454773,0.0,Background,00583
0.6417768001556396,0.0,Background,00610
0.7174304127693176,0.0,Background,00611
0.43559926748275757,0.0,Background,00616
0.6384342908859253,0.0,Background,00662
0.48604467511177063,0.0,Background,00717
0.43477949500083923,0.0,Background,00720
0.2560778558254242,0.0,Background,00722
0.2513905167579651,0.0,Background,00724
0.3124423027038574,0.0,Background,00726
0.31557559967041016,0.0,Background,00728
0.5892199873924255,0.0,Background,00798
0.26259616017341614,0.0,Background,00854
0.4478314220905304,0.0,Background,00855
0.6961921453475952,0.0,Background,00892
0.32893916964530945,0.0,Background,00925
0.4798697531223297,0.0,Background,00947
0.4621366262435913,0.0,Background,00992
0.3984658718109131,0.0,Background,01000
0.2767017185688019,0.0,Background,01014
0.6166446208953857,0.0,Background,01050
0.5295358896255493,0.0,Background,01072
0.6539971232414246,0.4842906342345396,Localization,01111
